Year,Month,Rainfall(mm),Rain frequency
2008,January,12.17,9
2008,February,15.51,8
2008,March,47.76,15
2008,April,250.93,15
2008,May,199.5,11
2008,June,128.3,8
2008,July,180.0,8
2008,August,222.0,10
2008,September,317.5,13
2008,October,320.8,18
2008,November,153.4,9
2008,December,170.5,11
2009,January,107.5,8
2009,February,113.7,13
2009,March,115.89,13
2009,April,301.5,13
2009,May,76.4,9
2009,June,211.4,8
2009,July,152.0,5
2009,August,318.5,8
2009,September,187.5,10
2009,October,465.5,16
2009,November,223.5,13
2009,December,588.5,15
2010,January,329.5,16
2010,February,127.0,11
2010,March,398.7,17
2010,April,282.5,14
2010,May,170.5,11
2010,June,101.5,6
2010,July,150.0,14
2010,August,245.5,14
2010,September,230.1,12
2010,October,215.0,12
2010,November,224.4,15
2010,December,90.0,10
2011,January,269.0,21
2011,February,127.4,6
2011,March,230.6,15
2011,April,208.4,17
2011,May,104.3,10
2011,June,72.2,6
2011,July,30.1,6
2011,August,100.0,6
2011,September,201.8,11
2011,October,413.0,16
2011,November,233.2,17
2011,December,249.0,20
2012,January,145.3,14
2012,February,187.9,18
2012,March,170.4,15
2012,April,229.9,12
2012,May,117.4,9
2012,June,52.1,8
2012,July,78.5,11
2012,August,264.1,12
2012,September,156.46,8
2012,October,277.2,16
2012,November,392.5,21
2012,December,542.0,15
2013,January,195.5,12
2013,February,168.8,16
2013,March,242.6,12
2013,April,227.8,12
2013,May,247.7,13
2013,June,90.0,7
2013,July,82.5,4
2013,August,111.9,7
2013,September,248.4,11
2013,October,309.1,18
2013,November,477.5,20
2013,December,326.7,14
2014,January,269.3,8
2014,February,4.0,1
2014,March,107.8,7
2014,April,157.2,15
2014,May,230.6,14
2014,June,131.0,4
2014,July,68.7,7
2014,August,176.9,13
2014,September,143.6,7
2014,October,132.5,13
2014,November,319.6,19
2014,December,405.5,16
2015,January,92.5,11
2015,February,29.0,2
2015,March,138.2,13
2015,April,208.1,14
2015,May,158.9,12
2015,June,83.9,10
2015,July,84.5,4
2015,August,34.2,8
2015,September,155.7,7
2015,October,130.9,7
2015,November,413.9,19
2015,December,197.6,12
